Part Number,Quantity,Manufacturer
TZMC5V1-GS08 ,19300 ,Telefunken 
LMK325ABJ107MMHT ,18494 ,Taiyo Yuden 
NCP1271D100R2G ,17500 ,ON SEMI 
GCM155R71E103KA37D ,16610 ,Murata 
C2012C0G1H100D ,16000 ,TDK 
CF1/2102JT52 ,16000 ,KOA 
BFC233862103 ,15000 ,VISHAY 
MC74HC132ADR2G ,15000 ,ON SEMI 
MMSZ4713T1G ,15000 ,ON Semi 
GCJ32EC71H106KA01L ,13695 ,MURATA 
250R05L5R6BG4S ,13500 ,Johanson Tech. 
560124-0101 ,13500 ,Molex 
GCM21BR71A106KE22K ,13000 ,Murata 
EN80C186XL20 ,12901 ,Intel 
C0603S103K5RAC3112 ,12000 ,KEMET 
GCJ31MR71H105KA12L ,12000 ,Murata 
GCM188C71A225KE02D ,12000 ,Murata 
MF0207FTE52(360R) ,12000 ,Yageo 
B72510T9200S172 ,11898 ,Epcos 
C0603C682K5RACAUTO ,11842 ,Kemet 
STP3NA80 ,11593 ,ST Micro 
M24C32-BN6 ,11290 ,STM 
EF68B40PV ,11260 ,ST Micro 
1274223-1 ,10800 ,TE Connectivity 
BAT54AWFILMY ,10000 ,ST 
BK1005HS601-T ,10000 ,TAIYO YUDEN 
BZX55C33/D8 ,10000 ,"General Semiconductor, Inc. "
CRCW040268R1FKED ,10000 ,VISHAY 
CRCW080510K0FKEA ,10000 ,Vishay 
CRCW08054320FRT1 ,10000 ,Vishay 
HZS6C2LTA ,10000 ,HITACHI 
SP0203-R15K ,10000 ,TDK 
TDA7073AT/N4 ,10000 ,PHILIPS 
TLRME50T ,10000 ,Toshiba 
RK73H2BTTD2741F ,9800 ,KOA 
626034-2 ,9690 ,TE Connectivity 
OPA277UA/2K5 ,9000 ,Texas Instruments 
SMBJ28CAHE3/52 ,9000 ,Vishay 
VNB35N07TR-E ,8926 ,STM 
MAX823SEUK-T ,8026 ,Maxim Integrated 
0805CC471KAT3A ,8000 ,AVX / Kyocera 
12062R182K9B20D ,8000 ,Philips 
41532 ,8000 ,TE Connectivity 
CL31C221JBNC ,8000 ,SAMSUNG 
LQH31CNR47M03L ,8000 ,MURATA 
LQW18AN47NG00D ,8000 ,MURATA 
FM93C46EN ,7859 ,Fairchild 
1SMB5.0AT3 ,7538 ,ON Semiconductor 
CAT24WC16P ,7250 ,Catalyst 
EB2-48NU-L ,7000 ,NEC 
EEU-FM1E221BJ ,7000 ,Panasonic 
M24C16-BN6 ,6940 ,STM 
444313-1 ,6240 ,TE Connectivity 
163680-1 ,6000 ,TE / TYCO 
350561-1 ,6000 ,TE Connectivity 
BAS40-06 ,6000 ,ITT General Semiconductors 
BC638 ,6000 ,Philips 
BC846BT115 ,6000 ,NXP 
BZX84-B18 ,6000 ,Philips 
HPWS-FL00 ,6000 ,Philips 
7-1452665-1 ,5935 ,TE 
UDZSTE-1710B ,5890 ,ROHM 
ERJ-6GEYJ222V ,5759 ,Panasonic 
GCJ21BR71H105KA01 ,5625 ,MURATA 
MR2520LRL ,5600 ,ON SEMI 
SCD1005T-681K-N ,5600 ,YAGEO 
GRM1885C1H101GA01J ,5363 ,Murata 
170043-2 ,5000 ,TE / TYCO 
2237 661 663011 ,5000 ,PHILIPS 
232275061009 ,5000 ,Philips 
243A322782040M3 ,5000 ,Vishay 
243A32535404043 ,5000 ,ROHM 
4400 ,5000 ,Arlington 
B37940-K5470-J60 ,5000 ,Epcos 
CFS1/4CT52A182J ,5000 ,KOA / Speer 
CR16-3R48-FL ,5000 ,ASJ 
CRCW08054K12FKEA ,5000 ,VISHAY 
GCM1555C1H471JA16D ,5000 ,Murata 
GCM1555C1H5R6CZ13D ,5000 ,MURATA 
GCM32ER71H475KA55L ,5000 ,Murata 
GRM1555C1H1R5CA01D ,5000 ,Murata 
M93C46-MN6T ,5000 ,STM 
RC0805FR-0724RL ,5000 ,Yageo 
RK73B1JTTD332J ,5000 ,KOA 
RK73H1ETTP1002F ,5000 ,KOA 
RK73H1ETTP1003F ,5000 ,KOA 
RK73H1ETTP14R0F ,5000 ,KOA 
RM06F3740CTLF ,5000 ,Cal-Chip Electronics 
RM06F7502CTLF ,5000 ,Cal-Chip Electronics 
TDA7052/N2 ,5000 ,Philips 
177914-1 ,4900 ,Tyco Electronics 
RK73H2BTTD5600F ,4849 ,KOA 
5-103166-3 ,4800 ,TE / AMP 
RK73B2ETTD751J ,4795 ,KOA 
SST29LE020-200-4I-EH ,4680 ,SST 
CC1206MKX7R6BB226 ,4589 ,Yageo 
CR0603-47R0FTR ,4500 ,YAGEO 
ECJ0EC1H010C ,4500 ,Panasonic 
ATMEGA328PB-MNR ,4494 ,MICRO 
RK73H2ALTD7681F ,4440 ,KOA 
M24C08-WMN6 ,4400 ,STM 
GCM1885C1H101FA16D ,4363 ,Murata 
BF485PN ,4251 ,PHILIPS 
ERJ-3EKF3162V ,4184 ,Panasonic 
SZ1SMB28CAT3G ,4158 ,On Semi 
BD679AG ,4100 ,ON Semiconductor 
C1608CH2E122J080AA ,4000 ,TDK 
CC0603KRX7R6BB105 ,4000 ,YAGEO 
CGA3E3C0G2E122J080AE ,4000 ,TDK 
CL21C102JBNC ,4000 ,Samsung 
CRCW201030R1F ,4000 ,Astec 
EEE-FK1K100P ,4000 ,Panasonic 
GRM1885C1H180FA01D ,4000 ,Murata 
GRM1885C1H4R7BA01D ,4000 ,Murata 
LQW18AN27NJ00D ,4000 ,Murata 
TDA7053AT/N2 ,4000 ,Philips 
C0603C122GAGACTU ,3990 ,Kemet 
GCM155R71H102KA37D ,3990 ,MURATA 
C1608C0G2E122K080AA ,3950 ,TDK 
M24C64-MN6 ,3942 ,ST Micro 
C1608NP02E122J080AA ,3920 ,TDK 
GCM188R72A104KA64D ,3600 ,MURATA 
60110741 ,3500 ,DELPHI / FCI 
RK73Z2ATTDD ,3400 ,KOA 
RK73B1ETTP103J ,3200 ,KOA 
GCM31CR71H225KA55L ,3067 ,Murata 
C13-0264-156 10uF ,3022 ,Nippon-Chemicon 
0230-800 ,3000 ,Littelfuse 
08055A101JAT2A ,3000 ,AVX 
1SV322 ,3000 ,Toshiba 
9C08052A7150FKHFT ,3000 ,Yageo 
ATMEGA165-16AU ,3000 ,Atmel 
BAS16E6327 ,3000 ,Infineon Technologies 
"BUK9Y25-80E,115 ",3000 ,Nexperia 
